,hotel_name,published_date,rating,review,review_language,title,trip_date
10,Center Parcs Le Bois aux Daims,29 janvier 2019,5,"10 jours de d\u00e9tente en famille, que ce soit au niveau de l\'accueil, de la qualit\u00e9 de l\'h\u00e9bergement, les activit\u00e9s, le personnel rencontr\u00e9, rien n\'est venu assombrir notre s\u00e9jour. Mention tr\u00e8s bien \u00e0 la personne qui a acc\u00e9l\u00e9r\u00e9 notre arriv\u00e9e dans le 2eme cottage, au limonadier jean Christophe pour sa gentillesse et au jeune homme en charge du paint ball et du segway pour sa bonne humeur.",fr,Vraiment cool !, janvier 2019
11,Center Parcs Le Bois aux Daims,29 janvier 2019,5,tr\u00e8s beau cadre en harmonie avec la natured\u00e9connexion garantiecottage comme \u00e0 la maison literie extrarivi\u00e8re sauvage et toboggans tr\u00e8s fun spa procurant une r\u00e9elle d\u00e9tente du fait du peu de monde pendant le cr\u00e9neau horaire imparti ,fr,relaxation et cocooning au rendez-vous, janvier 2019
12,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"S\u00e9jour tr\u00e8s agr\u00e9able, tr\u00e8s bon accueil, cottage tr\u00e8s confortable. Le personnel est tr\u00e8s sympathique et \u00e0 l\'\u00e9coute des clients Juste un petit regret concernant l\'\u00e9loignement du cottage /d\u00f4me (acc\u00e8s difficile pour une personne handicap\u00e9e)... Une navette gratuite serait une id\u00e9e pour les personnes \u00e0 mobilit\u00e9 r\u00e9duite ou les enfants en bas \u00e2ge... Surtout en cas de mauvais temps. Je recommande le restaurant buffet \u00e0 volont\u00e9 pour la fra\u00eecheur des aliments, la cuisine est de qualit\u00e9e... J\'ai \u00e9t\u00e9 agr\u00e9ablement surprise et j\'aimerai y revenir ",fr,Confort et bien-\u00eatre, janvier 2019
13,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"le parc est calme , la nature est partout  et  les cottages sont confortables et bien \u00e9quip\u00e9s( bon chauffage, appareils \u00e9lectriques, lits confortables, terrasse,...); un  bon accueil d\u00e8s notre arriv\u00e9e . tout est bien pens\u00e9 pour que l\'on passe un s\u00e9jour relaxant . Le parc est bien \u00e9quip\u00e9 pour que les enfants passent un s\u00e9jour formidable.",fr,conforme \u00e0 nos attentes, janvier 2019
14,Center Parcs Le Bois aux Daims,30 janvier 2019,4,"Tr\u00e8s bonnes installations. Seul b\u00e9mol quota de personnes jusqu\u2019\u00e0 1500 personnes pour l\u2019aqua Mondo beaucoup trop \u00e9lev\u00e9. Cela devrait \u00eatre maximum 700. Avons eu 1000 personnes le samedi et c\u2019est Insupportable et il est impossible de profiter des jeux, toboggans, piscine, rivi\u00e8re sauvage et autres sans \u00e9touffer et \u00eatre fortement bouscul\u00e9s. ",fr,Tr\u00e8s agr\u00e9able en famille sauf le week-end, janvier 2019
15,Center Parcs Le Bois aux Daims,29 janvier 2019,2,Nous sommes venus en famille avec une amie et ses enfants pour lui faire d\u00e9couvrir center parcs car nous c\'est le troisi\u00e8me part que nous faisons et nous avons \u00e9t\u00e9 tr\u00e8s d\u00e9\u00e7u d\'une part par notre cottage num\u00e9ro 24 (m\u00e9nage mal fait porte-fen\u00eatre qui se ferme mal chasse d\'eau ab\u00eem\u00e9 les deux lumi\u00e8re clignotante du cottage pas tr\u00e8s pratique pour des \u00e9pileptiques) et d\'autre part par le service de livraison de repas (commande commander entre 20h30 et 21h livr\u00e9 21h30 incompl\u00e8te et renvers\u00e9 et la derni\u00e8re pizza livrer \u00e0 22h30 un peu tard pour un enfant de 5 ans) et ne parlons pas non plus du Quick tu ne pouvais absolument pas faire de glace le dernier jour au moment de partir une avec des frites. Franchement nous avions tr\u00e8s honte par rapport \u00e0 ce qu\'on avait dit \u00e0 notre ami sur center parc.,fr,S\u00e9jour en mid-week du 21 janvier au 25 janvier., janvier 2019
16,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Nous avons pass\u00e9 un tr\u00e8s bon s\u00e9jour! L \'environnement aupr\u00e8s de la nature,la  piscine, les activit\u00e9s... que du positif. La seule chose que nous avons regrett\u00e9 est l amabilit\u00e9 du personnel( l accueil :on a l impression de d\u00e9ranger lorsqu on pose une question sur des activit\u00e9s...et la personne en caisse du magasin qui se plaint que ma fille lui casse les oreilles parce qu\' elle pleure et qu\'elle aimerait bien travailler avec des boules quies. Et oui j \u00e9tais en caisse au moment o\u00f9 elle fait la r\u00e9flexion ! ma fille \u00e9tant avec mon mari \u00e0 ce moment l\u00e0!! Hormis cela tout \u00e9t\u00e9 g\u00e9nial.",fr,Bon s\u00e9jour sauf..., janvier 2019
17,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Le cottage VIP 6 personnes \u00e9tait juste super!! Adapt\u00e9 pour nous. Juste le c\u00f4t\u00e9 cuisine o\u00f9 il manquait quelques petites choses : pas assez de couverts et de casseroles/po\u00eales, un four aurait \u00e9t\u00e9 super. M\u00e9nag\u00e9 globalement propre, juste ma fille est tomb\u00e9e sur 2 bouts de verres en jouant par terre. Beaucoup d\'activit\u00e9s \u00e0 faire et pour tout \u00e2ge. Nous avons fait du p\u00e9dalo, du poney et un tour au spa. L\'aqua mundo est vraiment super pour les enfants et m\u00eame pour les grands enfants",fr,Un bon moment de d\u00e9tente, janvier 2019
18,Center Parcs Le Bois aux Daims,29 janvier 2019,4,Toujours aussi bien j\'y vais toujours avec plaisir ! Cher mais tellement agr\u00e9able ! Quelques petits soucis de sauna et de hammam mais je ne prendrais plus ce cottage comme \u00e7a je paierais un p\u00e9ri moins cher !,fr,Une bulle de d\u00e9compression en plein hiver !, janvier 2019
19,Center Parcs Le Bois aux Daims,29 janvier 2019,5,Premier s\u00e9jour \u00e0 Center Parcs en famille avec notre fille de 2 ans. Endroit calme. Activit\u00e9s multiples pour s\'amuser et d\u00e9couvrir la nature. Les daims devant notre cottage c\'\u00e9tait juste super! A refaire au plus vite...,fr,Super moment en famille!!, janvier 2019
20,Center Parcs Le Bois aux Daims,28 janvier 2019,4,Cottage tr\u00e8s bien agenc\u00e9 pour une famille nombreuse. Espaces nuits tr\u00e8s agr\u00e9ables. Il y a deux salles de bains et deux toilettes. La partie cuisine/pi\u00e8ce \u00e0 vivre est spacieuse et donne sur les grandes baies vitr\u00e9es. Les couleurs sont douces et relaxantes. Le calme environnant est appr\u00e9ci\u00e9. Il ne manque rien. Tout est con\u00e7u pour un confort optimal .Sauf....... (eh oui il y a un sauf) concernant le m\u00e9nage qui n\'avait pas \u00e9t\u00e9 fait correctement \u00e0 notre arriv\u00e9e. Toilettes venant d\'\u00eatre utilis\u00e9es(!) buses de baignoire sales et d\u00e9couverte de la vaisselle tr\u00e8s sale avec des restes d\'alimentation sur les couverts.Vite oubli\u00e9 car l\'espace eau est magnifique et toute la famille s\'est relax\u00e9e.,fr,Relaxant, janvier 2019
21,Center Parcs Le Bois aux Daims,28 janvier 2019,4,"Bel endroit, tr\u00e8s calme au niveau des cottages, le paradis des enfants, une vraie petite bulle de d\u00e9connexion. Rapport qualit\u00e9 prix un peu \u00e9lev\u00e9 sur restau et activit\u00e9s mais c\'est le jeu. Beaucoup de monde le samedi \u00e0 la piscine mais c\'est le jeu \u00e9galement. Hormis \u00e7a nous avons pass\u00e9 un excellent WE qui nous a donn\u00e9 tr\u00e8s envie de revenir.",fr,"Tr\u00e8s satisfaits de notre WE, belle d\u00e9couverte", janvier 2019
22,Center Parcs Le Bois aux Daims,28 janvier 2019,3,Bon s\u00e9jour pass\u00e9 en famille le c\u00f4t\u00e9 nature \u00e9tait bien pr\u00e9sent de m\u00eame que les chemins pi\u00e9ton sont tr\u00e8s bien entretenus. Petit b\u00e9mol sur la propret\u00e9 du cottage car le lave vaisselle ne lavait pas bien et que \u00e0 notre arriv\u00e9 le lave vaisselle \u00e9tait plein et la vaisselle \u00e0 relaver! Lieux tr\u00e8s bien pour des s\u00e9jour en famille adapt\u00e9 \u00e0 des enfants.,fr,S\u00e9jour agr\u00e9able en famille, janvier 2019
23,Center Parcs Le Bois aux Daims,28 janvier 2019,5,"Nous avons pass\u00e9 une super semaine en famille. Nous avions un cottage VIP de 12 personnes et franchement tr\u00e8s bien, 6 SDB avec certaines baignoire \u00e0 remous sauna et hammam. Piscine tr\u00e8s bien. Nous avons fait une activit\u00e9 (tir \u00e0 l\u2019arc) tr\u00e8s bien le seul petit hic c\u2019est que le moniteur quand nous allions prendre nos fl\u00e8ches \u00e9tait sur son portable mais sinon super. Nous avons d\u00e9couvert center parcs et nous reviendrons \u00e7a c\u2019est s\u00fbr. ",fr,Excellent, janvier 2019
24,Center Parcs Le Bois aux Daims,29 janvier 2019,4,"Tr\u00e8s d\u00e9paysant , surtout en hiver.Tr\u00e8s adapt\u00e9 aux enfants; Moins aux personnes \u00e2g\u00e9es qui les accompagnent.Les nouvelles technologie sont prisent en compte (bracelet connect\u00e9) mais il y a encore quelques soucis et il manque un peu de personnel dans ce cas l\u00e0 (les casiers)",fr,Un bon moment de d\u00e9tente en famille, janvier 2019
25,Center Parcs Le Bois aux Daims,26 janvier 2019,5,"\u00e9merveillement pour les enfants: l\'endroit ideal pour des boutchous  qui aiment l\'eau et la nature. un sejour en plein hiver dans une eau a 30\u00b0, les enfants adorent !! se reveiller avec Bambi \u00e0 la fenetre, faire du velo sans peur des voitures...  que des bons moments en famille ! ",fr,que du bonheur, janvier 2019
26,Center Parcs Le Bois aux Daims,27 janvier 2019,5,"Un s\u00e9jour magique en famille. Nous y sommes all\u00e9s en semaine, hors p\u00e9riode scolaire, \u00e0 la fin janvier. C\'est juste super de pouvoir profiter des installations avec peu de monde... surtout l\'aquamundo. Il y a peu d\'attente, de la places dans les activit\u00e9s. top!Cottage VIP juste parfait. ",fr,Un s\u00e9jour \u00e0 faire en janvier, janvier 2019
27,Center Parcs Le Bois aux Daims,27 janvier 2019,4,"c\'est bon de pouvoir se baigner dans une eau&quot; chaude &quot; en hiver ( elle parait plus chaude en normandie) il manque le soleil mais \u00e7a \u00e9vite un vol pour les caraibes ; bonne impression g\u00e9n\u00e9rale, bonne organisation je pense que nous reviendrons",fr,d\u00e9tente, janvier 2019
28,Center Parcs Le Bois aux Daims,27 janvier 2019,3,Un geste commercial serait appr\u00e9ci\u00e9 compte tenu des d\u00e9sagr\u00e9ments rencontr\u00e9s. J\'ai oubli\u00e9 aussi de signaler que les rideaux de la pi\u00e8ce \u00e0 vivre \u00e9taient d\u00e9croch\u00e9s et les buses du bain \u00e0 remous \u00e9taient encrass\u00e9es.,fr,D\u00e9ception, janvier 2019
29,Center Parcs Le Bois aux Daims,27 janvier 2019,5,"Je recommande center parc \u00e0 toutes les personnes qui veulent s\'offrir des vacances apportant d\u00e9connexion, plaisir, m\u00ealant attractions et activit\u00e9s pour toute la famille, pour tout les go\u00fbts. La restauration est d\'un tr\u00e8s bon rapport qualit\u00e9 prix. Et le spa offre une d\u00e9tente absolue",fr,"Superbe s\u00e9jour, je recommande une \u00e9vasion au SPA. Agr\u00e9ablement surprise apr\u00e8s le visionnage de vid\u00e9o faites par d\'autres", janvier 2019
30,Center Parcs Le Bois aux Daims,24 janvier 2019,5,Un super moment de d\u00e9tente en familleCottage parfait avec de la placeTr\u00e8s bonne literieActivit\u00e9s Aquamundo compl\u00e8te. Dommage un toboggan en r\u00e9parationS\u00e9jour compl\u00e9t\u00e9 par un achat de 2h au spa et massage : l\'\u00e9quipe est tr\u00e8s professionnelle et soucieuse du bien \u00eatre,fr,D\u00e9tente et nature, janvier 2019
31,Center Parcs Le Bois aux Daims,25 janvier 2019,5,"Petit week end en famille, dans un cottage tr\u00e8s grand et bien agenc\u00e9...Il ne manque rien, de notre cot\u00e9 le m\u00e9nage avait bien \u00e9tait r\u00e9alis\u00e9...Vous n\'avez plus qu\'\u00e0 vous installer... Le matin grosse surprise trois petits Daims devant la terrasse.Cot\u00e9 Aquamundo, tr\u00e8s sympa cot\u00e9 chaude, possibilit\u00e9 de faire plusieurs attractions...De nombreux restaurants, un carrefour Express pour faire des achats...A faire",fr,Detente et nature, janvier 2019
32,Center Parcs Le Bois aux Daims,25 janvier 2019,5,"Tr\u00e8s bon \u00e9tablissement pour se reposer mais les prix en interne sont un peu trop \u00e9lev\u00e9s, et le lit b\u00e9b\u00e9 n\'\u00e9tait pas pr\u00eat \u00e0 notre arriv\u00e9e. (Pas de draps)Et lors de notre r\u00e9servation, envoi abusif de r\u00e9clamation d\'un paiement sur un s\u00e9jour que nous avons du annul\u00e9 pour changement de date.",fr,bon, janvier 2019
33,Center Parcs Le Bois aux Daims,26 janvier 2019,3,"Dommage premi\u00e8re exp\u00e9rience en famille et cottage pas propre m\u00e9gots sur terrasse, baignoire avec taches jaunes, poussieres et toiles d\'araign\u00e9e sous les litsPersonnel restaurants refuse de prendre une commande ou met 30 minutes avant de prendre une commande alors qu\'il n\'y avait pas grand mondeTobbogans et rivi\u00e8re sauvage dangereux vous aurez des bosses et des bleus!",fr,"Personnel incomp\u00e9tent, Cottage sale, Visiteurs manquant de civisme", janvier 2019
34,Center Parcs Le Bois aux Daims,26 janvier 2019,5,"La vie dans la nature, le calme, les daims au plus pr\u00e8s de nous et pas sauvages... super s\u00e9jour tr\u00e8s reposant. Les cottages se fondent dans le paysage, il n\'y a pas de pollution visuelle. Le parc est propre et bien entretenu.",fr,En harmonie avec la nature, janvier 2019
35,Center Parcs Le Bois aux Daims,23 janvier 2019,4,"Tr\u00e8s bon s\u00e9jour \u00e0 13 aux bois au daims. Avions r\u00e9serv\u00e9 deux cottages pour un week-end.La piscine est super et le parc calme, propre et respectueux de la nature.Dommage que les activit\u00e9s gratuites ne soient pas plus nombreuses vu le prix assez \u00e9lev\u00e9.  ",fr,Tr\u00e8s bon s\u00e9jour aux Bois au daims, janvier 2019
36,Center Parcs Le Bois aux Daims,23 janvier 2019,5,"Super s\u00e9jour pass\u00e9 avec des amis aux Bois aux Daims pour la seconde fois (1\u00e8re fois en janvier 2018). Les toboggans sont au top, le cottage et le parc tr\u00e8s agr\u00e9ables.Petit b\u00e9mol : un des toboggans \u00e9tait en panne (aqua tube) donc nous n\'avons pas pu en profiter, sinon c\'\u00e9tait parfait.",fr,Un excellent s\u00e9jour, janvier 2019
37,Center Parcs Le Bois aux Daims,23 janvier 2019,3,"Centre accueillant  \u00e0 faire en famille c\'est super sympa  : mais vaisselle sale, 2 wc entartr\u00e9s, abat jour sur la table \u00e0 manger plein de poussi\u00e8re.  des capsules caf\u00e9 usag\u00e9es rest\u00e9es dans la boite caf\u00e9 : Pas d al\u00e8se dans les lits. on y va tous les ans et c\'est la premi\u00e8re ann\u00e9e que l\'on voit \u00e7a. donc un peu d\u00e9\u00e7u par la propret\u00e9.",fr,tr\u00e8s bon Center Parcs mais m\u00e9nage fait vite fait, janvier 2019
38,Center Parcs Le Bois aux Daims,23 janvier 2019,4,2 jours dans le Parc de Bois aux Daims hors saison \u00e0 des tarifs tr\u00e8s int\u00e9ressants. Les cottages sont tr\u00e8s propres et tr\u00e8s bien \u00e9quip\u00e9s. Les activit\u00e9s propos\u00e9es sont multiples et le parcs est tr\u00e8s agr\u00e9ables. +++ pour l\'\u00e9clairage de nuit ext\u00e9rieur tamis\u00e9 qui ne pollue pas l\'environnement.,fr,Center Parcs une valeur sure, janvier 2019
39,Center Parcs Le Bois aux Daims,23 janvier 2019,2,"Apr\u00e8s une r\u00e9servation VIP des notre arriv\u00e9e le m\u00e9nage pas fait dans toute les pi\u00e8ces, le micronde qui ne marche pas, les lumi\u00e8res dans la salle de bain qui ne marche pas et le chauffage qui ne marche pas alors on a froid en plein mois de janvier.",fr,M\u00e9contentement, janvier 2019
40,Center Parcs Le Bois aux Daims,22 janvier 2019,4, tr\u00e9s bon s\u00e8jour aux bois des daims avec de belles d\u00e9couvertes avec la nature. Belle balade et beaucoup activit\u00e9s a faire sur place. Acc\u00e9s autoriser pour les chiens avec d\u00e9pendance pour se promener. Nous reviendrons avec plaisir.,fr,vacances d\u00e9connexion, janvier 2019
41,Center Parcs Le Bois aux Daims,22 janvier 2019,4,"S\u00e9jour tr\u00e8s reposant. \u00c0 Center parcs, on d\u00e9compresse vraiment au milieu de la nature et des daims qui viennent tout pr\u00e8s des cottages. L aqua mundo est au top ! Ne pas h\u00e9siter \u00e0 venir en famille ou entre amis\u00c0 renouveler........ ",fr,Agr\u00e9able s\u00e9jour en famille, janvier 2019
42,Center Parcs Le Bois aux Daims,22 janvier 2019,3,"Nous sommes d\u00e9\u00e7u de notre s\u00e9jour \u00e0 center parc. Nous sommes partis un weekend du vendredi soir au dimanche apr\u00e8s midi. L\'accueil \u00e0 l\'arriv\u00e9e est pas irr\u00e9prochable. En revanche arriv\u00e9 au cottage nous devons faire notre lit. Au prix du weekend je trouve \u00e7a limite. Le lendemain l\'acc\u00e8s \u00e0 la piscine n\'ouvre qu\'\u00e0 10h. Sachant que l\'on vient principalement pour \u00e7a je trouve \u00e7a tard.L\'int\u00e9rieur est plut\u00f4t tr\u00e8s positif : temp\u00e9rature jeux activit\u00e9s. ...La restauration, les resto n\'ouvrent qu\'\u00e0 midi. Accueil m\u00e9diocre \u00e0 l Italien. Service tr\u00e8s lent et passable. Nous partons avant le dessert car trop long.Le soir, l\'autre  resto , le buffet. Il est vide quand on arrive, on attend 10mn avant d\'\u00eatre install\u00e9. Pas de boissons incluses dans notre pension compl\u00e8te. M\u00eame pas un coca  ! !! Aberrant ???Maintenant le petit d\u00e9jeuner. C\u00f4t\u00e9 positif : tr\u00e8s garniC\u00f4te n\u00e9gatif : livr\u00e9 au cottage dans une fourchette de 2h, entre 7h et 9h. Pas facile pour pr\u00e9voir quelque chose.Apr\u00e8s un coup de tel il arrive finalement \u00e0 9h 15.Bref,Le c\u00f4t\u00e9 piscine est super, mise \u00e0 part les horaires tardifs d\'ouverture. Le c\u00f4t\u00e9 restauration est m\u00e9diocre. Ya que le quick qui ne d\u00e9\u00e7oit pas. C\'est dire. En conclusion, nous avions pris la formule pension compl\u00e8te pour \u00eatre tranquille et nous en sommes tr\u00e8s d\u00e9\u00e7u. Pour un forfait autour de 600e (promo) nous trouvons \u00e7a tr\u00e8s tr\u00e8s cher d\'un point de vue rapport qualit\u00e9 prix. ",fr,Restauration m\u00e9diocre., janvier 2019
43,Center Parcs Le Bois aux Daims,23 janvier 2019,5,"piscine cottage activit\u00e9s... rien ne manque Nous avons pass\u00e9 trois jours extraordinaires, d\u00e9tente, relaxation, d\u00e9connection... superbe week end \u00e0Center Parc le cottage est vraiment bien agenc\u00e9 par contre les chaises ne sont pas confortable le seul b\u00e9mol. Arefaire sans h\u00e9siter",fr,superbe week end !, janvier 2019
44,Center Parcs Le Bois aux Daims,23 janvier 2019,4, SUPER ! Relaxation totale dans un environnement calme.Nous y allons tous les ans et nous y retournerons l\'ann\u00e9e prochaine. Un vrai bonheur de voir les Daims en libert\u00e9 qui viennent tout pr\u00e8s des cottages ,fr,Des vacances au top !, janvier 2019
45,Center Parcs Le Bois aux Daims,20 janvier 2019,5,"Nous avons pass\u00e9 un super s\u00e9jour ,en d\u00e9connexion total.le retour \u00e0 la r\u00e9alit\u00e9 \u00e0 \u00e9t\u00e9 difficile.le site est sympa, mention sp\u00e9ciale \u00e0 la visite des daims le matin. La piscine et les toboggans sont juste \u00e9normes. ",fr,D\u00e9connexion, janvier 2019
46,Center Parcs Le Bois aux Daims,20 janvier 2019,5,"Tr\u00e8s beau parc, calme, relaxant. En pleine nature. Nombreuses activit\u00e9s pour toute la famille. La piscine est superbe surtout pour les enfants. Le parc est vaste et les promenades en v\u00e9lo ou \u00e0 pieds sont un vrai r\u00e9gale. ",fr,Super s\u00e9jour, janvier 2019
47,Center Parcs Le Bois aux Daims,20 janvier 2019,4,"S\u00e9jour de 8 jours en famille. Peu de monde dans le PARC  la semaine , l Aqua mondo tr\u00e8s beau et agr\u00e9able. Le week-end par contre trop de monde dans l espace piscine, limite dangereux pour les enfants surtout la rivi\u00e8re sauvage. Nous avons fais de nombreuses activit\u00e9s, un point fort le fun shop, le personnel tr\u00e8s sympa et comp\u00e9tents, un grand merci \u00e0 CLAUDIA pour sa gentillesse et disponibilit\u00e9 ainsi qu\' Axel et Jordan.Elle se rapellera longtemps de nous lors de notre \u00e9chouage en P\u00e9dalo \ud83d\ude01\ud83d\ude02\ud83d\ude09Le parc est agr\u00e9able et nous avons eu la chance de voir des daims tous les jours. Le cottage \u00e9tait propre et bien \u00e9quip\u00e9.  B\u00e9mol : nous sommes all\u00e9s un matin au march\u00e9 aux daims ancien nom( le jungle CIRCUS) , prendre un petit d\u00e9jeuner.Une seule personne pour g\u00e9rer l ACCUEIL, la salle, et le buffet \u00e0 remplir. Une personne tr\u00e8s gentille et souriante qui a fait de son mieux malgr\u00e9 le monde.On nous a rapell\u00e9 (la manager) au cottage 2  heures apr\u00e8s,  nous signalant qu il y avait eu une erreur d encaissement  et qu il manqu\u00e9 5 euros et qu il fallait passer au restaurant pour pay\u00e9 cette diff\u00e9rence..... Je trouve cela pas commercial, l erreur venant d eux. Je ne suis pas \u00e0 5 euros mais cela ne se fait pas de r\u00e9clamer !!! Inacceptable !!!!! Au bowling pareil une seule personne pour  tout g\u00e9rer.On prend une piste \u00e0 6 personnes (55 min) et pas une de +. R\u00e9sultat nous n avons pas fini la partie, l \u00e9cran et la piste s arr\u00eatent direct.....Pour 32 euros la partie C est limite !L espace Factory : bonnes animations et jeux pour enfants et de bons go\u00fbters.La boulangerie ainsi que le supermarket bien achaland\u00e9s mais l\u00e0 aussi une seule personne dimanche matin \u00e0 tout g\u00e9rer  (la boulangerie et la caisse du supermarket )  malgr\u00e9 le monde dans le parc ce week-end (4000 personnes), tr\u00e8s grande fil d attente du coup. En r\u00e9sum\u00e9 nous sommes satisfaits mais il serait important de revoir les effectifs de personnels surtout aux heures d affluences....Une suggestion : pr\u00e9voir un point laverie.",fr,Bien mais de points d am\u00e9liorations \u00e0 revoir , janvier 2019
48,Center Parcs Le Bois aux Daims,21 janvier 2019,4,Parc tres agr\u00e9able m\u00eame si l aqua mundo est envahi le week end .seul b\u00e9mol la qualit\u00e9 et le manque d ustensiles de cuisine nombre tres insuffisant de couvert poeles d\u00e9form\u00e9es couteaux qui ne coupent rien etc,fr,Sejour au calme, janvier 2019
