group_number,review,service,service_sentiment,activities,activities_sentiment,cost,cost_sentiment,family,family_sentiment,food,food_sentiment,infrastructure,infra_sentiment
groupe_1,"Been here for the last 3 years for short breaks. Always enjoy our time here. Swimming is great, lots of walks to be had. Great accommodation with all home comforts and luxuries and the beds are the most comfortable of anywhere we have stayed. Already booked our fourth visit for next year.",0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0
groupe_1,"We were in Lodge 505 The Oaks and it was very well placed for the complex everything within 2 minutes walk away.  We really enjoyed the visit to santa and seeing the reindeers they were so amazing and our kids loved it...Down side the Panto was awful, we ended walking out at the interval as it really couldn't get any worse!  We decided after this trip to not bother going back to Centerparcs again for a few years, it's just not that interesting anymore.  Best Parts 1) Santa2) Pony ride to Santa3) The trivia quiz very funny but hard!4) Our lodge in it's location (Paid £60 to get central so well worth it).5) Fireworks on Boxing Day wow it was fantastic and we were right behind them so no need to leave our Lodge.6) Staff in the PacMarket were lovely helpful and very cheery!! lovely staff Bad Parts1) Staff in the bars very uninterested in being nice or helpful2) People are really not very polite pushing and cutting in line3) Neighbours that came out every night and early morning ie 3am for a cigarette (Their lodge door opened to our bedroom.)",1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0
groupe_1,"This was our 8th or 9th visit to Center Parcs, Sherwood Forest and unfortunately I don't think we'll be going back for a while (if at all).  In the past we have loved it, couldn't fault it but this time it was far too busy, far too many people and a struggle to get a seat in both Starbucks and the Sports Cafe. We like to book activities when we get there to see what we fancy but we couldn't. On our arrival day we couldn't enter the pool as it was at capacity and on our last day the pool was closed for quite some time due to either a 'technical fault' 'health and safety' 'plant matter leaking in the water' - all three reasons given by different staff. We were told that the pool may not open at all and then it did, seconds after.  Guest services although pleasant, not helpful, their response was 'Center Parcs reserves the right to close any attraction due to health and safety reasons', typical management response. I do understand the reasons behind closing the pool and I wasn't there to complain, I wanted to know the likelihood of the pool opening before deciding to leave the complex to go home.Everywhere was packed, no-one had a lodge to go to, those arriving couldn't access their lodge and those leaving had checked out, it was chaos in every building and play area. Very stressful.My personal view is that too many new lodges are being built therefore more people in a complex that cannot handle them during peak school holidays. We have loved Center Parcs over the years and our children have made many memories. It was always a chilled, relaxing family break but this time it was far from it, too many people, too busy and not enough space for everyone.",1.0,-1.0,1.0,-1.0,0.0,,1.0,-1.0,0.0,,1.0,-1.0
groupe_1,Four day christmas holiday......second time for me with grandchildren.....absolutely magical....would recommended to anyone any age......can be expensive but just think before you buy...... We took our own Christmas tree lights extra......cooked on Xmas day.....enjoyed the open air and excerise - just fab,0.0,,0.0,,1.0,0.0,1.0,1.0,0.0,,0.0,
groupe_1,"We've enjoyed many breaks at 4 of the Center Parcs locations and we couldn't wait to return to Sherwood Forest for a short post-Christmas family break. It didn't disappoint. We know what we like to do and had booked 2 evening meals and bowling in advance. We also played adventure golf, which was fun but very cold, badminton and a 2nd game of bowling. Plus plenty of time in the pool and chilling at Starbucks and our lodge.The only negative,which didn't affect our enjoyment but was a noticeable change from our last stay 2 years ago, was just how busy the whole parc was. We even had to wait 15 minutes to enter the subtropical paradise which was a first. I hope Center Parcs aren't trying to pack as many people in as possible to the detriment of all visitors. Please don't Center Parcs.",0.0,,1.0,0.0,0.0,,1.0,1.0,0.0,,1.0,-1.0
groupe_1,"On arrival we were greated by christmas trees with snow on &amp; loads of lights, fantasic feel good factor for this time of the year. Easy check in, aimed for the village for lunch and a game of badminton before unloading our cases in to the lodge. Clean and sizeable for a 4 bedroom lodge sleeping 4 adults 4 children just off the lake (great poistion) swimming was on the menu for the following day which if you havent been before is great the kids (&amp;us) love the rapids and the relaxed feel. A little winter bbq was had in the evening with a few drinks to warm the cockles. The only downside to our trip was forresters pub/restaurant (AGAIN), I bought 8 drinks 2 alcoholic 2 coffees &amp; 4 soft drinks with 4 bags of crisps, this came to over £40!!! Which to me was a rip off!!! the staff need to smile like the rest of the center parcs staff espically in the sports bar (great breakfast) no more vists to forresters for us!! I cant recommend center Parcs highly enough fantastic experience for all the family and cant wait to return. If you are reading this and wondered what christmas would be like at center parcs well its amazing. Enjoyud83cudf89ud83cudf7eud83dudc68u200dud83dudc68u200dud83dudc67u200dud83dudc66ud83dudc68u200dud83dudc68u200dud83dudc67u200dud83dudc66ud83eudd8cud83cudf32ud83cudff8ud83cudfcau200du2642ufe0fud83euddd7u200du2642ufe0fud83dudeb4u200du2642ufe0fud83dudef4ud83cudf87ud83cudfb3ud83dudc3fud83eudd86ud83cudf85",1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0
groupe_1,"Just returned from a 3 day break at Elveden Center Parcs. The villa was lovely as were the surroundings. We saw a heron and a muntjac!High points for us were the rapids, the cyclone and the fireworks, which gave the Disney fireworks a run for their money!We have visited Center Parcs many times over the past 12 years and it never fails to impress.",0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0
groupe_1,The tree house was amazing. We had our own host to make sure our stay was perfect and our every  need was catered for. It was expensive but worth every penny. We had such a relaxing time. The children loved the games room.,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,,1.0,1.0
groupe_1,"Center Parcs is always magical - regardless of time of year. I come to expect nothing less than 'being at one with nature', fresh air, great facilities and activities and fab and friendly staff. Hence why I've been so many times and it won't stop now. One thing let this break down...the Boxing Night Party (cold food, poor choice of live band with a set 1 1/2 hours long which made a vast number of people, ourselves included, leave early). The rest was 'as per usual' and fabulous.",1.0,1.0,1.0,-1.0,0.0,,0.0,,1.0,-1.0,1.0,1.0
groupe_1,"Just come back from a great trip to Center Parcs. It's not cheap in the school holidays but we had so much fun it was worth the money. We chose to eat in rather than use the restaurants and instead we spent our money on activities such as climbing, badminton and roller skating. We also really enjoyed the swimming and going on the white water rapids in the dark. The fireworks display was very impressive. All of the staff we encountered were very friendly and helpful. We stayed in a new Woodland lodge and it was perfect for our family.Can't wait to go back again!",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
groupe_1,"My wife wanted to come here for her 50th Birthday, so today we went for Afternoon Tea and a spa experience.From the moment we arrived every single staff member demonstrated fantastic customer service.Whilst every staff member I spoke too were fantastic, 3 staff members stood out in particular and made celebrating my wife's birthday a more personal experince, they were Shelley, Dawn and Lee. these confirmed that coming here was the right decision, and we will be coming  back soon!Thank you to all for the service provided today it was amazing and will be recommending you to my friendsKind RegardsMr H Dyer",1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,
groupe_1,"Beware anyone with children 6 and under, this was our first stay at CP with our granchild aged 6 and 4, our first visit was to the pool, we followed the flow of people to the rapid ride which can be seen and it looked like a lazy river, my 4 year old had arm bands on as she cannot swim, the lifgaurd said she can go on but would have to remove her arm bands, we declined so she didn't go on this ride.OMG I took my 6 year old on and it was leathel for her, she came of crying because this ride pulled her under and she though she was drowning.I reported this immideatly to the pool manager, and to reception, both said it's only suitable for 8 years and up, how on earth would a life guard let a 6  year on and even worse my 4 year old, my fear is a child will drown  on this ride.All the reception could say was, did you not look at the safety board and thier is info in all lodges.CP you need to re train your life guards.CP are way over priced for my 6 year old to have a 15 minute quad bike ride they wanted £33.00.Would never return ",1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,,0.0,,0.0,
groupe_1,Still love this place even after 29 years.Had a great time and the kids love it even in the cold.Pricey if eating and drinking at the on site resturaunts.Our villa 925 was serviced lovely by the maids and they were so very polite.Same time next year,1.0,1.0,0.0,,1.0,-1.0,1.0,1.0,0.0,,0.0,
groupe_1,During our visit to sherwood we were very impressed with the service given by guest services. Our housekeeping team Lisa radford and her colleague Dawn went above and beyond sorting out the problems we had with our bed. The whole visit was a relaxing holiday. This was our 14th annual holiday and well worth a visit for a wind down after Christmas. Excellent.,1.0,1.0,0.0,,0.0,,0.0,,0.0,,0.0,
groupe_1,"Just back from a week stay and it was amazing! We stayed in 213 cedar and it was faultless, very clean and modern. We payed for an upgraded new woodland lodge and was very happy with the perfect location for a family with young children. All of the staff were very friendly and cheerful with was a delight and although we didn't do many payed activities this time will be booking them in for the next visit, I originally said the bike hire was too expensive but my other half and 3 year old got there own way and went for a walk and came back with a bike and trailer which our daughter and 6 month old son absolutely loved and I was then made to get one too and I'm so glad we did. We had the most fun as a family riding around and saw much more of the parc.",1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,,1.0,1.0
groupe_1,"Just returned from a 3 night break for new year and WOW we are absolutely thrilled. We've have the most amazing time start to finish. Check in was speedy and the cycle center staff were extremely helpful. We Stayed in 912 executive lodge, beautiful location, everything you could need. Kitchen was fully equipped and they even had tea, coffee, Tassimo coffee, washing liquid, dishwasher tablets, tea towel and sponges. Bathrooms were very clean with soft towels and products. Beds were comfortable and rooms were spacious. Lounge had a great log burner and views of the forest. We woke to deer, geese and squirrels on the patio. We ate in the Hucks on the first day, service was slow but with an indoor play area the kids are entered, food was good and staff were friendly.We booked Foresters for our new year eve and we can't thank them enough! Singing waiters, great music and lovely food! Well worth the money. Fireworks at midnight were fantastic. The pool was a hit for us with the flumes and rapids. Easy to spent 3 hours playing. The arial adventure with zip wire is a must we all felt challenged and came away buzzing with adrenaline. Crazy golf was a good hours fun and reasonably priced as was bowling and badminton.I could go on forever! Great place, great staff and fantastic timeThank you Center Parcs xx",1.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,1.0,1.0
groupe_1,We had a magical Christmas at Center Parcs. It was good to relax and unwind and spend some quality time with the kids.I would highly recommend Eleveden it looked beautiful lit up with all the Christmas lights and th fireworks on Boxing Day were amazing. It's worth every penny.,0.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,
groupe_1,"Wow where do we start .......Our New Year Stay was truly amazing from start to finish.Center Parcs Elveden certainly do go all out for New Year it was truly magical on New Years Eve itself !We stayed in a treehouse The Walnut and we was truly lost for words when entering the Tree House it takes your breath away and is like something out of a film The photos really don't these justice and if you are wondering are these worth the high price tag they definitely are!!!! Center parcs actually don't write enough about them in my opinion on line and you are made to feel extra special there are so many big and little touches which are not noted in the description which make it so super special and if your wondering if it is worth the money it most definitely is it will be a memorable break you all will never forget You have your own host to great you who runs through all the in and outs of the tree house and answers any queries you have It was magically lit up the winding path to the door where a lit real tree and wreath hanging on the door even the children were blown away You walk in to a lovely smelling lodge with long hall adorned with wood into a open plan lounge/ kitchen with high pitch roof and spiralling staircase massive log fire and so much more... snug massive round board table 2 large sofas 2 comfy leather arm chairs the list is endless ......The kitchen has state of the art appliances and the sound system is amazing and loud .... Even the doorbell is magical The hot tub is top of the range super bubbly and mood changing lights it also feels lovely and private The games room even blows you away and is nothing like the other games room you find in the executive and exclusive and to top it off the view from the top bedroom and lounge is equally amazing You are made to feel so special and little other advantages also make it extra special like collection of your bikes towels for swimming at guest services and more Thank you so much Center Parcs Elveden Moving on from the accommodation the rest of Center parcs didn't disappoint even though it is one of their busiest times of the year The New Years eve party meal at cafe rouge was again so festive happy and the staff were amazing food was well cooked and the plaza area was transformed into a beautiful party area with ice sculpture life size elephant balloons dj and more it had a real family party vibe and children and adults had a great time Center parcs definitely made it a night to remember finished with an amazing fire work display We had more great meals in hucks and pancake house and staff was all efficient The woods were magically lit and we had a break never to forget Thanks Center Parcs,Claire &amp; Maria",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
groupe_1,"We once again visited Elveden Forest for the Winter Wonderland which seems to get better year on year.We arrived early to make full use of the facilities and was welcomed with open arms and explained that we could park our car until our accommodation was ready at 2pm as we had paid for early check-in which is well worth it.The accommodation was well presented with all amenities and clean. Everything was well appointed and exactly what was needed to make it a great family tripThe facilities on site are amazing, you can do as much or as little as you like on site with everything you can wish for. From adrenaline rope walks to the relaxation of the spa, there is something for everyone.We have now made the Winter Wonderland a family tradition now and it really is a magical experience. The small touches of fake snow, singing reindeer and plenty of photo opportunities are really what makes it magical, not to mention the fireworks on Wednesday night, these are brilliant and all done to music. A tru spectacular.The subtropical swimming pool is brilliant for the whole family and has lots to keep you occupied all day.The wildlife is also a plus, this year seemed to be more active with the deer and squirrels coming right up to the lodge for food.Once again an amazing trip and cant wait for next year!!",1.0,1.0,1.0,1.0,0.0,,1.0,1.0,0.0,,1.0,1.0
groupe_1,"Spent Christmas with extended  family, two separate lodges.  Accomodation and pursuits and activities  brilliant, fun for all.  They really do everything to ensure it looks good for the Christmas holiday, grand children loved it....Our only problem was the crowds on the changeover day as many stayed to enjoy the facilities after leaving their accomodation, (we did too), but there were limited, (Just 3) eating house open for meals, breakfasts and lunches.  more turned away that were catered for.The other restruants were simply closed???  Why??  loads of custom...We had extra family come in for boxing Day only and we took them for a meal at Foresters.  mistake.  Meals inedible!  Manageress admitted they had already had complaints but still served the meat!   Could have soled shoes with it! Got a small discount but had it not been for embarassing the company I would have made a real fuss and refused to pay. Yes it was that bad.  We had a similar experience a couple of days prior to this too...Sadly the bad taste left means we are not going back, and this was our third Christmas with Centre Parcs!",0.0,,1.0,1.0,0.0,,0.0,,1.0,-1.0,1.0,1.0
groupe_1,"There were five of us stayed, we did a Monday to Friday in January, we stayed in a regular villa, which was lovely and spacious, bedrooms were fine, enough room for us all. We had a terrific break. We were in Cedar which was really close to the main square.",0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0
groupe_1,"We've been coming to Sherwood for 24 years and have had a 7 year gap since our last trip. This time we came with friends as children all grown up and although the exec villa was nice and the newly refurbed spa (although expensive at £49) we were disappointed to see how much the site has been developed.There are now far too many lodges, this means the sub tropical paradise is far, far too busy. Driving range has disappeared as it's all built on! There seems to be so much less forest and green areas, which ruins the concept of it. Surprised to find it was almost full capacity, but I suppose whilst they are still filling the lodges they will keep building new ones!Service and food surprisingly good at Cafe Rouge.Cleaning of villa poor.Think we will call it a day and go elsewhere",1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,,1.0,1.0,1.0,-1.0
groupe_1,"It's just a year since our last visit to Sherwood and it's obvious just how busy it is especially since this was just after new year when all the children are back at school. I dread to think how  it will be in the school summer holidays. We made the mistake last year of not booking restaurants each night, not realising that only part of some are kept open, and were told waiting times were 90 minutes. This year we booked and restaurants were busy. With so many extra villas being built, the services are going to struggle. Lunchtimes seem to be very quiet in some restaurants - Bella Italia had only about 4 tables in one day, and the food was surprisingly good. We could see into the pool and it was heaving! We opted for an executive apartment, 913, this time and we amazed by how spacious it was, and how luxurious and comfortable. It's much bigger than a 2 bed lodge and not a lot different in price. The only snag is having to walk through the carpark to get anywhere, but we got used to that. You do get a designated parking space close to the apartments The select guest vouchers are still an issue almost 2 years on. We had to collect them from guest services only to be told we'd have to call back as they'd run out! Our meal at Hucks  was a disappointment - tough steaks, which aren't cheap, so you expect quality. Our waitress was brilliant and sympathetic. She took one off the bill as she could see a lot was left on the plate.I've always loved my trips to Center Parcs but with the woods and open spaces disappearing under more villas at each visit, I can see the time when we stop visiting. TBH the only thing that stops us changing to Forest  holidays is the lack of restaurants there.  Should they ever change that, then we may be there more often as their villas are lovely.",0.0,,0.0,,0.0,,0.0,,1.0,-1.0,1.0,0.0
groupe_1,"We have always loved Center parcs, staying in the forest is lovely and the accommodation is always great comfortable and well maintained.  We enjoy some of the sporting activities as well as cycling and the pool.  We have become disappointed with the pool at sherwood.  On our trip just after new year but still in the schoool holidays the pool area was overly busy, uncomfortably so.  There were large queues for the slides some for half an hour the outside pool was very busy and the rapids crowded making it feel unsafe.  The changing rooms were far too busy, we had to wait about 20 minutes on getting out of the pool for a changing cubicle the number of these needs to be doubled.  There is a small shared changing area which we also used that was very crowded.  The main wave pool was a bit cooler than we would like.Overall this put us off going back to Center parcs especially in the school holidays as the pool areas are one of the main reasons we go.  The kids were even put off which really shows how bad it was.  I (and several other people at the pool) felt that the main problem is that many more villas have been built but the pool areas haven't been expanded to accommodate.  At sherwood a new slide has been built but wasn't yet open, however I can't see this would have made much difference.  The pool areas need to be massively expanded.  We may try and go again but not in the school holidays and might try whinwell forest instead.  Center parcs you have over built and spoilt what was a lovely holiday in nature with some lovely facilities.We also had an issue with a pre booked takeaway order.  We ordered a Chinese and they tried to give us Indian instead.  After a couple of calls we finally got our food about an hour late and the quality of it was very disappointing.  We ended up getting a full refund the next day which we appreciated.  Food in the restaurants we ate in was good ( pancake house, Italian and the country in). Service was also good at these venues.  The supermarket has a good selection of items although some of it a bit pricey.Overall we've had some lovely holidays at Center parcs but think the days are numbered.  I would avoid school holidays at all costs and maybe try one more visit at a different park ",1.0,1.0,1.0,1.0,1.0,-1.0,0.0,,1.0,0.0,1.0,-1.0
groupe_1,"First time spending Christmas at Center Parcs and it was magical. Lights lining the pathways, extra touches in our lodge. We cooked Christmas dinner in the lodge instead of going out. The kitchen is always so well stocked with equipment. It was such an easy Christmas, (presents in morning, swimming in the afternoon and back to lodge for Christmas dinner). We all had a amazing Christmas break! Well worth getting a tree delivered to the lodge with a box of decorations. We did a mixture of eating out and cooking in the lodge. Fireworks on Boxing Day were fantastic. Service was excellent everywhere we went from swimming pool to restaurants.",1.0,1.0,1.0,1.0,0.0,,0.0,,1.0,0.0,1.0,1.0
groupe_1,"Just got back from a long weekend with 10 family members &amp; 2 dogs. We stayed in cedar. Lodges were clean &amp; tidy with everything we needed. Not to far walk away from the center. With it being dog friendly I would have been nice to have the patio bit fenced off to let them out there for some fresh air, but they did have a metal ring where you could tie your dog too. There was a dog park over the road from us which was handy for the dogs to get a bit of off lead time, but it wasn't very big so they couldn't really run around. A lot of dog owners not picking up after their dogs though so had to make sure we didn't stand in anything when cleaning up after our own. We took them in to the entrance of the jardin des sports and sat with them whilst we played pool with no problems. They weren't allowed inside anywhere else though. We also took them to archery and was able to take them in to the hut where we were shooting from as one of our party wasn't taking part &amp; could sit with them. Swimming pool was very busy, and not enough changing cubicles, we found ourselves waiting ages for someone to come out but then there was a few people fighting for each changing cubicle. So we only ended up going once. We also used the shuttle bus for my brother in law who is disabled &amp; can't walk far. The guy picked them up on time, helped him in &amp; out of the van &amp; very friendly. Said whenever we needed him to give him a ring.",1.0,1.0,0.0,,0.0,,1.0,0.0,0.0,,1.0,-1.0
groupe_1,"The first time we have spent Christmas away. It was amazing thanks to Centre Parcs. The whole experience was brilliant from beginning to end. Breakfast with Santa, festive pottery, Elf Hunts, Santa's farewell, fireworks, Christmas lunch at Hucks, bowling, swimming and football pool. Just the best time ever!!",0.0,,1.0,1.0,0.0,,0.0,,1.0,1.0,0.0,
groupe_1,"My brother kindly took us and his family to Center Parcs between Christmas and New Year. We arrived at the Forest at 1pm, 2 hours before we could get in to our lodge. When we drove in I liked the festive touches of Christmas Trees and fake snow truly magical for our little daughter. Getting our keys to lodge was quick and easy. Parked the car and decided to go for a drink and a swim before we could get in to the lodge. We headed to the sports bar on foot and loved all the fairy lights, singing reindeer's, made us all feel very festive. The sports bar was very busy but managed to get a table. Swimming is always brilliant at Center Parcs but family changing room could be bigger.The lodge we stayed in was pine 357. To be honest was slightly disappointed with the Lodge. Its too small for four adults and two toddlers. You do get under each others feet. We also found ants in the lodge which is a shame. This isn't a huge criticism as we spent a lot of time swimming and at the sports plaza. But this could be improved.All in all a good stay, enjoyed all the festive decorations around the forest, swimming, and having a drink. Be warned though if you want to watch football in Sports bar get their early and have plenty of beer vouchers £5.50 a pint! Also make sure you have change as toddlers will keep wanting to go in the arcade, so many Peppa pig machines around the resort be warned !!",0.0,,0.0,,1.0,0.0,0.0,,1.0,0.0,1.0,-1.0
groupe_1,We waited two hours for food we kept asking for it and we got asked to put it in a cardboard box to take it with us.Aparently there was a 30 minute wait for it.It took longer than that I will certainly not be coming back,0.0,,0.0,,0.0,,0.0,,1.0,-1.0,0.0,
groupe_1,"We had a lovely Christmas as a family (grown up kids) in an Ash Exclusive villa at Elveden.  Great to have a hot tub and games room etc.  It's VERY expensive so I wouldn't do it again at that price, especially as they don't give you much included with it - no logs for fire, not many toiletries, only one tea towel for four days.  My recommendation would be, if people are paying a premium, it needs to feel top end in every way.  Generally we didn't do much on site - the pool is great and hadn't done the Cyclone before, and we treated ourselves to a family spa day which was fun.",0.0,,1.0,1.0,1.0,-1.0,0.0,,0.0,,1.0,-1.0
groupe_1,"What a wonderful way to spend Christmas, surrounded by nature with all of the walk ways and tree's dressed in fairy lights.Center Parcs gives you the complete package of Christmas/Sports/activities that enhance your family experience. Would definitely recommend anyone with young children to seriously consider booking thier Christmas break at centre Parcs",0.0,,1.0,1.0,0.0,,1.0,1.0,0.0,,0.0,
groupe_1,"Warmth of a fireplace, laughter with kids and family, conversations and experiences are all the reasons why we keep coming back to Centre Parcs; its become an integral part of our Christmas holiday and the stays never cease to amaze. Life's about creating stories and memories and Centre Parcs is a great way to achieve that. Highly recommended!!",0.0,,0.0,,0.0,,1.0,1.0,0.0,,0.0,
groupe_1,"We stayed there for Christmas and stayed in the exclusive lodge with games room and hot tub with own private parking. It was AMAZING. Most of the village was covered in lights and there were christmas trees everywhere. You could do as much or as little as you wanted. We did stocking making, cake decorating, festive carriage ride, indoor climbing and bowling. The swim center was great and it was easy to spend a couple of hours at a time there. There was also a bonfire display. We saw plenty of wildlife outside our lodge as well. We had such a great time that we are planning on going back for Christmas again.",0.0,,1.0,1.0,0.0,,0.0,,0.0,,1.0,1.0
