"Mainextract_Commentaire","Mainextract_Date"
"Excellent moment passé en famille dans un cottage VIP avec sauna et bain à remous ! Idéal pour les petits et les grands ! Nous avions une formule demi pension pour 5 et livré au cottage ! Tout à été parfait ! Merci","Date du séjour : janvier 2019"
"Piscine propre et chaude . Vestiaires en nombre suffisant. Peut être des bancs à l’entrée pour retirer nos chaussures seraient bien pratiques !! Jeux couverts pour enfants super . Mini golf interactif super sympa !!","Date du séjour : janvier 2019"
"température de l'eau trop froide, ce qui a gâché beaucoup d'activités, les prestations payantes sont chères mais çà reste un bon séjour pour décompresser.les cottages ont été refaits mais les la cuisine est mal équipée.","Date du séjour : janvier 2019"
"séjour agréable par l'accueil, les activités, la nature préservée, les travaux d'amélioration des cottages et la possibilité de profiter de famille et amis dans une ambiance reposante ou animée au choix","Date du séjour : janvier 2019"
"Gros problème de maintenance et d'entretien des cottages qui mêmes rénovés sont abîmés et non réparés!Il est vraiment temps aussi de repeindre la zone aquatique qui accuse le poids des années!Pour se rendre du dôme à son cottage durant la nuit, prévoir une lampe de...Plus","Date du séjour : janvier 2019"
"Déçus par : Décoration de Noël minimaliste - costumes de mauvaise qualité (chip). Repas de Noël livré au cottage immangeable et trompeur - foie gras entier de canard devenu une mousse premier prix - giroles et pommes de terres grenailles en boîte spongieuses et pleine...Plus","Date du séjour : décembre 2018"
"Le domaine est calme en pleine nature, piscine avec l'eau à 29°, activités pour petits et grands, cottages impeccables, dôme super magnifique avec plantes tropicales, flamants roses et perroquets. On éprouve toujours autant de plaisir et d'admiration lors de nos séjours. En 2018, juillet et...Plus","Date du séjour : décembre 2018"
"Malheureusement ce center parcs vieilli très mal. La piscine est salle et mal entretenue...beaucoup de casiers inutilisable, plus de portes aux toilettes. L'eau est froide et l'air aussi d'ailleurs...30min après notre arrivé notre fils avait les lèvres bleues et impossible de faire la rivière sauvage...Plus","Date du séjour : décembre 2018"
"Eau froide même gelée pour accès rivière sauvage, douches chaude mais pas puissante penible avec des enfants et en plein courant d air éclairage limite la nuit dans le parc trop de circulation très déçue!!!!","Date du séjour : décembre 2018"
"Moyen. Trop de monde à l'aqua mundo. Manque d'éclairage dans le parc , dès 17H on roule à vélo dans le noir. Ayant résidé dans un cottage VIP il est dommage, qu'ayant demandé un service de changement de serviette le mercredi celui-ci n'a pas eu...Plus","Date du séjour : décembre 2018"
"Dommage de la vétusté du parc et des cottages sinon agréable séjour!!! Le matériel des activités usagés également. Activités assez onéreuses ... Je pense essayé celui de Poitier afin de voir la différence","Date du séjour : décembre 2018"
"A moins de 2h de chez nous ce parc est à taille familiale et véritablement fait pour accueillir des séjours avec des jeunes enfants; avec un très grand espace dans l’aqua Monde pour eux (même s’il est souvent squatté par des adultes car l’eau y...Plus","Date du séjour : décembre 2018"
"deçu sur l'etat générale du park , la salle de sport mal entretenue et froide, le bowling mal entretenu, pas de tri pour les poubelles ou mal positionné , trop de voiture non rangé, les routes mal entretenues,trop cher pour l'etat globale du park, trop...Plus","Date du séjour : décembre 2018"
"J'ai lu les horribles avis écrits sur ce parc (délabrement, saleté etc) mais nous avons été agréablement surpris par notre cottage en excellent état (et en plus, ce n'était pas un ""new design"". Tout était propre et bien entretenu. Le Dôme est impeccable. La rivière...Plus","Date du séjour : décembre 2018"
"Nous avons été satisfait de notre séjour passé à center parc ( les bois franc ) en famille , c'est l'endroit idéale pour regrouper le temps d'un WE plusieurs familles ( frere-soeur -cousin-cousine ) dans un même cottage","Date du séjour : décembre 2018"
"Nous avons réservé le week end précédent Noel pour passer un bon moment en famille avant les fêtes, qui c'est vite transformé en un week end fort décevant. Nous sommes arrivés vendredi en fin d'après-midi - impossible d'ouvrir la baie vitrée, - le lave-vaisselle ne...Plus","Date du séjour : janvier 2019"
"Bonjour Nous venons de passer 3 jours au Center Parcs les bois Francs et malheureusement nous avons quelques gros regrets concernant le cottage premium que nous avons eu - les éclairages extérieurs ne fonctionnent pas - le lave vaisselle la porte était cassée donc impossible...Plus","Date du séjour : janvier 2019"
"Fin déc. 2018, le cottage 568 présentait une fuite importante connu (des solpalins était présent à notre arrivé sous la fuite). Nous l'avons signalé à plusieurs reprises. La veille de notre départ , on nous a proposé de nous reloger (sans commentaire)...","Date du séjour : janvier 2019"
"Plus","Date du séjour : janvier 2019"
"nous avons passé un bon séjour et nous sommes bien amusée, le parc et jolie et permet de se détendre et de changer d'air les activités sont correcte les cottage sont en bonne état et propre avec de beaux espace","Date du séjour : janvier 2019"
"Séjour agréable cadre magnifique très bonne literie nous sommes allés le 31 décembre il y a eu un magnifique feu d artifice le repas du nouvel an trop onéreux Pb d éclairage certains quartiers peu éclairés","Date du séjour : janvier 2019"
"Toujours un excellent séjour. Personnel et Direction toujours accueillant et à l’écoute. Beaucoup d’améliorations en cours qui je pense ferons de ce domaine un excellent lieu de détente et loisirs d’ici un à deux ans. C’est long mais cela était nécessaire.","Date du séjour : janvier 2019"
"Super Vacances en famille Un reveillon hors du commun dont nous nous souviendrons Des activités pour tous les âges et pour tous les goûts Un esprit tranquille pour les parents car des ados peuvent aller et venir en toute sécurité","Date du séjour : janvier 2019"
"Nous sommes partis à 8 amis de 20 ans pour fêter le nouvel an. Nous avons passé 5 jours fantastiques, le cottage était super et bien entretenu (4chambres) il a peut être manqué une salle de bain supplémentaire (1 seule pour huit). Le parc était...Plus","Date du séjour : janvier 2019"
"Etre à Center Parcs est complètement dépaysant mais aussi épuisant dans le sens où quand on a des enfants plein d’énergie mais qui ne sont pas complètement autonomes dans l’eau c’est compliqué.Sinon c’est un lieu idéal pour un séjour en famille ou entre amis et...Plus","Date du séjour : janvier 2019"
"","Date du séjour : janvier 2019"
"Domaine des bois francs vétuste, ne répond pas aux standards actuels.Installations vétustes, eau de la piscine froide, douches en pannes pour partie, courant d’air insupportables dans les vestiaires au moment de se s’habiller !!! Il est temps de réagir !!!","Date du séjour : janvier 2019"
"","Date du séjour : janvier 2019"
"Cottage mal équipé 1 casserole 2 tres grosse marmites pas de cuillère en bois pour cuisiner des verres a ne plus les compter mais couvert tres limitée à , meuble abîmé dans le vip literie creuser douche tres petite","Date du séjour : janvier 2019"
"Plus","Date du séjour : janvier 2019"
"Parc vieillissant et prix trop important par rapport aux prestations . Le parc a 30 ans et ça se ressent sur tous les points, peu d innovation, peu de rénovation, cottage avec des équipements qui fonctionnent mal ou pas et sales","Date du séjour : janvier 2019"
"un séjours de 4 jours 31/12-04/01 pour plus de 1500€ avec une demi pension : Gite obligatoirement pour 4 personnes mêmes si vous êtes 2 (hôtel en rénovation et aucun tarif aménagé non faut faire du fric !!!) le Gite à 15h00 on arrive il...Plus","Date du séjour : janvier 2019"
"cela fait plusieurs fois que l'on séjourne aux bois francs avec nos enfants, c'est toujours un plaisir … les cottages sont agréables et bien équipés, quand à l'espace piscine c'est un régal de jeux pour les enfants ! je recommande !","Date du séjour : janvier 2019"
"Plus","Date du séjour : janvier 2019"
"Pour nous habitués de center, effectivement ce n est pas le mieux car vetus mais il est moins cher. Oas de souci sur le cottage. Pour nous c est trotinette pour les deplacement Il faut prevoir....tout ce qu il faut prevoir dans une loc, normal....Plus","Date du séjour : janvier 2019"
"31 décembre 201830 ans de site et trop de vétusté.Les cottages sont anciens et la rénovation vendue comme magique sur le papier n’est pas là. Les fenêtres ne fermaient pas dans les chambres et le réfrigérateur avec ses étagères à bascules ne fonctionnait pas, Bref...Plus","Date du séjour : décembre 2018"
"Déçu des lieux et des prestations ! 🤷🏼‍♀️ C’est vieux le materiel n’est pas au goût du jour malheureusement dure dure de trouver du personnel sympathique je me suis senti comme une vache a lait tout activité est payante est très cher et la prestation...Plus","Date du séjour : décembre 2018"
"Une multitude de problèmes. Lavé vaisselle en panne Tv en panne. Évier bouché etc.... Center parc tres vieillissantBien trop cher pour de piettres prestationsIl est grand temps qu' il fasse des travaux de grande rénovation, Cottage salle en extérieur. Pas d isolation au fenêtre.bonjour la...Plus","Date du séjour : décembre 2018"
"Parc vieillissant et infrastructures sous dimensionnées vu le nombre de cottages supplémentaires qui ont été construits.Service de livraison de repas qui ne tient pas les engagements annoncés (à emporter, pas de livraison...)","Date du séjour : décembre 2018"
"Ce lieu est très agréable pour se recentrer sur la famille . Une déconnexion totale avec l’extérieur qui permet de se recentrer sur soit et ses proches . Ne pas prendre internet cacher la télécommande de la télévision prévoyez des jeux simples et rigolos pour...Plus","Date du séjour : décembre 2018"
"","Date du séjour : janvier 2019"
"très satisfait de notre séjour surtout que l'on a été surclassé, le parc est grand et propose de nombreuses activités. Bémol : A l'arrivée plusieurs problème dans le chalet (pas de chauffage, pas de télécommande, porte qui ne fermait pas) mais le service technique est...Plus","Date du séjour : janvier 2019"
"il est temps de donner un coup de jeune au domainele ménage laisse a désiré le cottage est abimétrop de vehicule a circulé ou a resté garé dans le domaine temperature de l eau moyenne et temperature de l'air de l aqua mundo pas tjrs...Plus","Date du séjour : janvier 2019"
"Bon séjour en famille mais dommage que la température de l'Aquamundo n'est pas été totalement au RDV. Température ambiante peu chaude, de même que l'eau de la piscine et de la rivière sauvage (au dire de tous les utilisateurs, hormis notre famille), problèmes techniques avec...Plus","Date du séjour : janvier 2019"
"Séjour en famille avec des amis . Arrivé : le cotage sale . Des ongles sur le lavabo,un reste de dentifrice, des cheveux . La salle a manger et salon : un canapé défoncé, le lave vaisselle qui lave pas , pas de cafetière ....Plus","Date du séjour : janvier 2019"
"Les maisons Premium rénovées sont très confortables. Le parc offre un cadre et des activités pour tout âge: nous étions 15 personnes de l'âge de 2 ans a 68 ans. Le seul bémol est la qualité des restaurants qui va de médiocre à moyen.","Date du séjour : décembre 2018"
"un grand manque d'entretien global dans l'aqua mundo problème de douche qui ne fonctionne pas, vestiaire dégradé, porte d’accès au douche bas cassé fissuré pouvant être une source de blessure pour jeunes enfantsPlus","Date du séjour : décembre 2018"
"Nous avons passer un agréable séjour avec nos enfants et nos amis où détente, amusement et convivialité étaient les maîtres mots.Les activités sont nombreuses et pour tout les âges mais un peu cher.A refaire !Plus","Date du séjour : décembre 2018"
"Très déçue par la saleté du parc, l'apect vieillot des cottages qui sont mal entretenus : tables de salon abîmée,vitres du salon avec des traces de mains d'enfant et de pattes de chien, ecran de television sale (recouvert de traces poisseuses de mains d'enfant), balnéo...Plus","Date du séjour : décembre 2018"
"C'est une parenthèse dans nos vies bien chargées, nous y avons passé de nombreux moments de détente et cela permet de se retrouver en famille tout en s'amusant. Les logements sont spacieux et très confortables.Plus","Date du séjour : décembre 2018"
"Les bois francs est devenu vraiment vieillot... Cottages totalement inaccessibles car dans le noir, allées et portes d'entrées... La literie, une horreur, complètement défoncée ! Intérieurs humides, mal nettoyés, plinthes cassées... bref les gosses eux sont contents mais nous adultes déçus pour le prix !Plus","Date du séjour : décembre 2018"
"L'entretien des cottages(ménage et entretien technique) laisse vraiment à désirer.J'ai du nettoyé les chaises.Les équipements de l'aqua-mundo sont vétustes tant au niveau des douches,des sèche-cheveux que des casiers: près d'un équipement sur deux n'est pas en état de marche!Le rapport qualité/prix n'y est pas!","Date du séjour : décembre 2018"
"Bon séjour mais gâché par le vol de nos 4 serviettes ! Nous sommes rentrés au cottage avec nos habits mouillés !!! petit comme comportement .... donc soyez vigilant ! Sinon un peu vieillot mais personnel agréable et séjour reposant. Très bonne vienoiserie ! pensez...Plus","Date du séjour : décembre 2018"
"Le parc est reposant et calme même si notre cottage était assez loin du dôme et quasiment introuvable la nuit car beaucoup de lampadaires ne fonctionnent pas. La piscine reste très bien, la rivière sauvage top et l’arbre à eau avec les toboggans plus récents...Plus","Date du séjour : décembre 2018"
"Client assidu de Center Parc depuis de nombreuses années, je me rends compte que d'année en année, les prix augmentent et les prestations baissent. Le rolling bulle à 11 euros les 10 minutes, c'est franchement abuser (c'est le même prix que que 45' d'aquabike avec...Plus","Date du séjour : décembre 2018"
"dans le cottage nous n'avons pas pu utiliser le bain à remous, il ne fonctionnait pas.dans la piscine les toboggans étaient souvent fermés le soirnous avons pu nous détendre et nous amuser. donc nous avons déconnecté. A faire","Date du séjour : décembre 2018"
"calme et détente après une année de travail au milieu de la nature dans le calme et sans voitures quel régal.session inoubliable au bowling.balade dans le parc visite a la ferme pédagogique.a refaire .","Date du séjour : décembre 2018"
"Je regrette d'avoir fait le choix d'un cottage VIP , très cher par rapport aux prestations fournies. Le ménage à revoir, sauna faible , isolation très instisfaisante , par contre la literie est bonne.","Date du séjour : décembre 2018"
"Pagode premium mal rénovée, sale (toiles araignées, poussière sous les lits), et déjà très abimée. Evier bouché, lave vaisselle avec des paniers qui ne coulissent plus, notices four et cheminée pas adaptées au matériel, éclairage quasi inexistant côté douche.Dôme avec de nombreuses fuites, spa pas...Plus","Date du séjour : décembre 2018"
"Cottage veillissant malgré le prix Moisissure autour des fenêtres de chambre avec des lits colles aux fenêtres Pas d’isolation Center parcs se dit eco responsable et gère par conséquent le’ chauffage qui descend a 18°la’ nuit ... par conséquent il fait froid la’ nuit et...Plus","Date du séjour : décembre 2018"
"","Date du séjour : décembre 2018"
"","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Une très bonne semaine en famille avec un bébé. Cottage confort très confortable avec un bémol pour le ménage. Il est très bien équipé. Des activités diversifiées où chacun peut trouver son compte. Les restaurants ainsi que la superette ont un bon rapport qualité/prix.","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"cottage très confortable situé dans un bel environnement , canards, écureuils nous ont accompagnés pendant notre séjour .les enfants ont été ravis des activités aquatiques proposées malgré un passage un peu ""frisquet"" à la rivière sauvage ….","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Nous sommes partis cette fois hors vacances scolaires: les températures dans la semaine par rapport au week-end étaient plus fraiches dans l'eau des piscines et dans le dôme.Le cottage 919 VIP 3 chambres qui nous a été attribué lors de notre séjour était très vieillissant...Plus","Date du séjour : décembre 2018"
"","Date du séjour : décembre 2018"
"Visiblement les Bois Francs commencent à veillir...des travaux sont en cours mais il reste beaucoup de choses à revoir.Ex: 4 douches HS, je vous laisse imaginer la queue...Mais globalement je le recommande !","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Très déçu par l'entretien : lavabo bouché, balnéo non fonctionnel, porte freezer cassé, ventilation bruyante et finition très limite. De plus, les activités dans le dôme ne sont pas toute à disposition toujours 1 ou 2 toboggans fermés minimum….Le coût des services est exhorbitant. Un...Plus","Date du séjour : décembre 2018"
"Mauvais séjour pas de chauffage dans le bungalow, intervention d'un technicien 2 fois chaudière défectueuse. Prêt d'un convecteur électrique comme solution...18 degrés pour un séjour de 4 jours du 10 au 15 decembre👹.piscine très mal entretenue. Eau tiède.restaurant piscine fermer. Restaurant fermant à 14h et...Plus","Date du séjour : décembre 2018"
"","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Vaisselle saleBaignoire à remous inutilisableSol du cottage sale Problème bowling enfant personne pour rembourser devait attendre 15 min ou aller à la réception.Rivière sauvage fermée mercredi à 12h Parc de jeu pour enfants ferme le jeudi pour probleme Pataugeoire fermée le mardi à 16h pour...Plus","Date du séjour : décembre 2018"
"Après avoir regarder de nombreux commentaires et ayant l'habitude d'aller au lac d’ailette(parc fermé en ce moment), j'ai eu un doute en allant passer un séjour au bois franc j'ai été agréablement surpris surtout pour la qualité du personnel que ce soit à la piscine...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Logement qui aurait besoin d être rénové ! C est inadmissible de louer des logements dans cet état, table cassée, chaudière qui perd des litres d eau, des chambres qui sentent le renfermé, frigo avec des étagères cassées, etc..... et quand à la piscine du...Plus","Date du séjour : décembre 2018"
"Après avoir lu certains avis j'ai eu peur d'y aller. Au final, je ne regrette rien, le logement était propre (un peu de poussière sous les lits mais rien de grave), les lits confortables...la rénovation du cottage est très bien. On a adoré la piscine...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Nous avons passé un très bon week-end ! Car le principal sont les moments passés en famille !C'est vrai que le parc est vieillissant et manque d'entretien et de lumière extérieure ...Mais notre cottage était rénové et propre, les vélos loués en très bon état...Plus","Date du séjour : décembre 2018"
"Cottage VIP Pagode très agréable et propre.Concernant l'aqua mundo, eau froide pendant notre séjour et beaucoup de points de restauration fermés ... c'est dommage.Concernant la livraison des repas au cottage, c'est très bien :)Plus","Date du séjour : décembre 2018"
"C'est un très bon parc si vous vous mettez dans les normes et les exigences de 1990... Seulement en 2018, au tarif pratiqué, ça dénote forcément... Au delà de cette déconvenue, on sent tout de même un effort du personnel et des services proposés, mais...Plus","Date du séjour : décembre 2018"
"Je trouve que pour 2 nuits le séjour reste cher 600 €. Pour ne pas pouvoir avoir accès à tous les toboggans, le dimanche plus d'accès aux toboggans on s'est retrouvé à 900 personnes dans la piscine.Je trouve que l'accès au parc n'est pas assez...Plus","Date du séjour : décembre 2018"
"Une HONTE , au cour d’un week-end à center parcs domaine des bois francs, nous avons réservé 2 soins en duo 2 après midi d’affilée au spa. Le constat fut désastreux les 2 fois. L’accueil Est glacial. Nous avons vraiment l’impression de déranger ces dames...Plus","Date du séjour : décembre 2018"
"Nous y avons diné vendredi soir entre amis. Nous pensions avoir beaucoup de choix de restaurant, un vendredi soir à Center parcs. Or seul le quick et le jungle circus étaient ouverts... Bon, direction jungle circus et là... on nous annonce un menu buffet à...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Cottage avec fuite d'eau, aucun radiateur qui fonctionne, odeur d'oeuf pourri,dôme piscine avec fuite de toiture partout, dans les restaurants plus de crayons pour les enfants, personnel désagréable, ...etc. un domaine vieillissant où rien n'est fait pour entretenir et accueillir les clients qui payent une...Plus","Date du séjour : décembre 2018"
"Super séjour en famille logement bien adapté nous y venons depuis plusieurs années mais je constate que la température de l'eau est loin des 29 ° annoncée, cela était vrai il y a 25 ans mais d'année en année la température baisse dommage car cela...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Apres des semaines de travail, nous attendions avec impatience ce we (cadeau de Noel pour nos enfants) Apres notre journee de travail et 2h de trajet nous arrivons au cottage et la la deception: un lieu GLACIAL : 11 degre!!!. Le chauffage ne fonctionnait pas....Plus","Date du séjour : décembre 2018"
"Venu en famille pour les 60 ans surprise de notre mère nous avons été assez surpris et déçu Les cottages qui devaient être proche l Un de l'autre ne l étaient pas Un frigo qui ne fait pas de froid Une poignée de porte cassée...Plus","Date du séjour : décembre 2018"
"Je suis allée au center parc en famille en mid week premuim . J’ ai eu la chance d’ avoir réservé avec une offre super promo . Alors concernant le center parc , il est un peu vieillot mais bien ... sans plus .. je...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Week-end trois jours. L'accueil était parfait. Cottage confort rénové propre mais 10 degrés à l'intérieur en arrivant. Grille pain hs. Chauffage qui se coupe sans cesse difficile à gérer la température. Peu d'éclairage pour se rendre au dôme. En ce qui concerne le dôme, nous...Plus","Date du séjour : décembre 2018"
"Super cadre, sans voiture, ambiance décontractée, espace ludique pour petits et grands.Restauration variée sur place, et sports pour tous les ages.Une bulle d'air pour profiter d'instants en famille.","Date du séjour : décembre 2018"
"","Date du séjour : décembre 2018"
"Bon week-end. L'eau de la rivière sauvage est un peu trop froide il faudrai la meme température que les bassins extérieur qui eux sont au top niveau chaleur. Notre cottage était propre et pour une fois pas trop éloignée du dôme.Plus","Date du séjour : décembre 2018"
"Petit rituel de l'année avec un séjour au Bois Francs. Comme toujours we plaisir détente en famille. Sans oublier les temps de baignade qui occupe beaucoup de temps sur le we. Et bien réussi car du monde mais pas trop. Eau et ambiance chaude à...Plus","Date du séjour : décembre 2018"
"Ne venez jamais aux Bois Francs. Les cottages sont très vieux et mal entretenus, le personnel n'est pas à l'écoute de vos demandes.Séjour hors de prix pour aucune qualité. Très déçue, ils ne sont aimables qu'avec notre carte bleue qu'il faut sortir en permanence.Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : décembre 2018"
"Dans un cadre très naturel, vous allez pouvoir passer un séjour très reposant. Les cottages semblent collés mais finalement très bien isolés. L'aquamundo est vraiment bien et les prestations Aqua Balneo valent le détour. En couple, je conseille de profiter des moments plus calmes pour...Plus","Date du séjour : décembre 2018"
"Séjour de 3 jours dans un cottage qui n’a de « vip » que le nom. Celui-ci était plutôt délabré, sale (tâches sur canapé, chaises etc), ne parlons même pas de l état des murs (surtout ceux de la salle de bains incluant le sauna), cadavres d...Plus","Date du séjour : décembre 2018"
"Arrivée vers 20h le parc pas éclairé du mal à trouvé notre cottage mal indiqué réservé avec vente privée un cottage vip pagode Pas du tout identique au photo en p'ud pouf se tarif vitre cassé Four cassé Douche cassé Du mal à chauffe le...Plus","Date du séjour : décembre 2018"
"Un séjour de 3 jours et 2 nuits, à mon sens est suffisant car trop de piscine tu la piscine.Si les activités annexes étaient moins chères voir gratuites pour certaines le séjour pourrait être pris plus long. Ceci dit, nous avons passés un super séjour...Plus","Date du séjour : décembre 2018"
"Nous étions ravis de nous retrouver pour un week end familial à center parc dont nous sommes habituellement adeptes mais ce séjour fut ponctué de (très) mauvaises surprises : - le cottage : le canapé était cassé (il touchait le sol quand on s’asseyait), l’eau...Plus","Date du séjour : décembre 2018"
"Arrivée le vendredi à 18h30, donc de nuit, et à notre grand étonnement, les allées à peine éclairées. Quasi un lampadaire sur trois ou quatre qui fonctionne dans les allées. Le chemin pour aller jusqu'au cottage n'est pas éclairé non plus, pourquoi ? C'est si...Plus","Date du séjour : décembre 2018"
"Nous avons hérités d'un cottage pagode premium pour handicapés , mais nous avons la chance d'être en bonne santé. Exterieures sales. Odeur d'eaux usées dans le salon. Certains ustensiles de cuisine sales.Baies vitrées sales , Plinthes ecaillées. Canapés bas de gamme : les assises glissent...Plus","Date du séjour : décembre 2018"
"Cottage 706 vip... Joli sans plus et une odeur ambiante nauséabonde fuite provenant du frigo et des tuyaux de levier de cuisine odeur de l'eau de la douche côté sauna dégoûtante et dans le sauna n'en parlons pas ce fut notre deuxième et sera le...Plus","Date du séjour : décembre 2018"
"Nous avions pris un cottage pagode vip pour 6 personnes et ne le regrettons nullement !Très bien équipé et agencé, le lit bébé et la chaise haute etaient prevues. Nous avons pu nous reposer et profiter de l'aquamundo.On compte y retourner.","Date du séjour : décembre 2018"
"Toutes les voitures restent sur le site au pied des cottages. Très peu d éclairage le soir fonctionne. Lave vaisselle qui rend la vaisselle plus sale que lorsque la met. Ampoules des cottages qui ne fonctionne pas. Signaler mais rester sans rien","Date du séjour : décembre 2018"
"Pourtant adept de center parc je fini par être déçu. Pagode vip complètement has been. Douche détériore abajour flottant four cassé. Le. Dôme est très vieillissant. Éclairage de nuit complètement obsolète. Au final une prestation pas à la hauteur du prix. Ça sera la dernière...Plus","Date du séjour : décembre 2018"
"endroit que je souhaitais faire connaitre à une amie. j'ai loué un cottage, nous avons passé un séjour très agréable, dépaysant ,reposant Nous avons été accueilli aux bois francs par des personnes sympathiques , à l'écoute dans tous les domaines .Mon amie compte bien y...Plus","Date du séjour : décembre 2018"
"Un parc délabré, pas éclairé le soir, une température dans le spa glacé, pas propre, pas du tout commerçant. Je recommande absolue pas ce lieu. Des tarifs exorbitants. Malgré tout un accueil agréable et un personnel chaleureux ratrappe légèrement la note.","Date du séjour : décembre 2018"
"Après 2 ans nous sommes revenus avec la famille agrandit. La dernière fois en avril un séjour superbe. Je vous avoue que cette année ce n'est pas du tout le même ressenti.. L'environnement reste agréable du fait d'être dans une forêt, il y avait effectivement...Plus","Date du séjour : décembre 2018"
"Plus","Date du séjour : novembre 2018"
"Plus","Date du séjour : novembre 2018"
"J'ai réservé un weekend en dernière minute, et j'aurais dû récupérer mon cottage a 15h, hors les clés ont été égarées et j'ai pu accéder a mon cottage vers 16h... Ok 1 heure c'est rien, mais on paye un. Service! De plus, le cottage était...Plus","Date du séjour : novembre 2018"
"Très bon séjour, prestation conforme à nos attentes comme à chaque fois Séjour dépaysant et reposant Employés du parc présents sans être envahissants c'est parfait Tout à disposition pour passer un bon séjour sans s'inquiéter de manquer de quelque chosePlus","Date du séjour : novembre 2018"
"avons passé 3 jours très agréable , rien a dire , l'eau excellente bonne température un repos total , très belle surprise pour nos amis ,nous , nous y allons souvent , oui le prix reste un peu élevé , a voir au moins une...Plus","Date du séjour : novembre 2018"
"Nous avons séjournes 4 jours en cottage VIP, le cottage est très agréable et spacieux avec des enfants de 3 et 5 ans. Certes le bain à remous n’est pas de dernière génération donc un peu déçu car c’est très moyen. Sauna nickel avec douche...Plus","Date du séjour : novembre 2018"
"Les bungalows VIP sont très biens et très confortables. Prestations luxueuses, haut chaude et chauffage à la hauteur... Par contre, le budget est assez important et toutes les activités, à part la piscine et les espaces ludiques pour les petits, sont payantes. Et en plus...Plus","Date du séjour : novembre 2018"
"Sympathique mais très sale que cela soit le cottage ou les piscines. De plus ils vendent du rêve sur les brochures mais le parc aquatique est relativement petit avec peu d’activités Tout prévoir car tous les suppléments sont facturés hors de prix (17€ pour 3...Plus","Date du séjour : novembre 2018"
"Plus","Date du séjour : novembre 2018"
